,닻과 돛(해자기업),닻과 돛(NASDAQ 40%),S&P500 100%
2021-11-09,765159.838254799,116864.1396962912,130257.9990602661
2021-11-10,754670.6028558271,116502.03809758913,129186.51976418035
2021-11-11,760600.7934466321,116754.44212172326,129257.69379115841
2021-11-12,765362.9008425964,117331.39283779493,130191.2776521797
2021-11-15,763772.8204478518,117296.51888525102,130189.87942124726
2021-11-16,764566.4755378673,117692.96033348155,130693.09323128911
2021-11-17,761287.7637798168,117610.19753513503,130353.07876367147
2021-11-18,777955.3667078133,117778.874400461,130794.29528567045
2021-11-19,781232.002303595,118008.94825295304,130611.35780950105
2021-11-22,766939.4023898768,116569.17639549426,130193.77546277746
2021-11-23,759045.2427710145,115850.2127608627,130409.52385315741
2021-11-24,761916.5462551732,115970.27014387285,130708.6638223522
2021-11-26,751084.9461489959,115080.62952113916,127738.33261979386
2021-11-29,765845.7069538108,115823.358139887,129424.50409890329
2021-11-30,757797.6808790785,115297.35127503428,126970.44591179454
2021-12-01,753522.2105359102,114080.48636061841,125470.26629681373
2021-12-02,754593.5607009508,114109.1652635891,127251.24597817658
2021-12-03,744110.6059250529,113145.75103911295,126176.15571677017
2021-12-06,740995.7211698396,113805.83601893345,127656.31212179628
2021-12-07,762857.5200417358,115420.99884215492,130299.70163720235
2021-12-08,760425.1456632959,115802.14176283235,130701.71339286285
2021-12-09,748138.933966706,114757.95358952216,129763.1339106461
2021-12-10,748301.1262387063,115203.00503063903,131002.25159299008
2021-12-13,734581.7122134648,114598.38697791882,129805.39306494377
2021-12-14,731745.1334220257,113819.57030569194,128835.65882554321
2021-12-15,749331.5836262741,114797.19727394701,130941.92403703158
2021-12-16,734589.805799016,113938.44169493805,129797.04440452195
2021-12-17,730354.1397422762,114101.91210295956,128461.7338640497
2021-12-20,728443.5094409571,113270.31482771841,126998.80420711348
2021-12-21,740768.8127382266,114452.46653945945,129256.58063643552
2021-12-22,747444.8647018035,115051.45541367616,130572.43811937209
2021-12-23,750838.2449830882,115705.2323355723,131385.0817922668
2021-12-27,759853.0339412771,116446.39085818734,133203.31143167423
2021-12-28,754979.4831423095,116141.98977364687,133068.75546077848
2021-12-29,751768.5178475988,115906.86078421464,133255.30390226853
2021-12-30,749866.3313071467,116016.3678016143,132856.9031119287
2021-12-31,747565.8706585856,115687.98690247082,132507.9969815854
2022-01-03,755690.3099414003,116323.15860424498,133352.6099151197
2022-01-04,754959.0509179637,115813.11502894692,133268.64818388582
2022-01-05,742245.1621356673,114564.49588270368,130684.20156856343
2022-01-06,741519.8376327215,113794.76633827995,130558.2521841838
2022-01-07,735630.8162323273,113431.66065850956,130029.4629656303
2022-01-10,735223.251185022,113483.23511161245,129842.08644562686
2022-01-11,741037.2421887631,114345.81645963507,131031.43796682236
2022-01-12,747238.8089677775,114730.74844023449,131400.6523833299
2022-01-13,744991.0928230226,113589.19057354906,129529.03204239573
2022-01-14,748936.3937425048,113895.04980497362,129635.24329303016
2022-01-18,737018.6005591594,112648.53485204122,127251.51747932848
2022-01-19,732471.0754662289,112346.42434506686,126018.50857290288
2022-01-20,730690.1894446402,112154.83689846154,124627.59459651567
2022-01-21,722889.8108908441,110873.52055015511,122270.28584489664
2022-01-24,722516.9662001984,111011.42098747258,122609.18715779137
2022-01-25,714120.2532819523,110386.82077910592,121116.79962587092
2022-01-26,715814.7337217788,110175.99962624429,120935.53188178585
2022-01-27,704260.4933496369,109055.48153572023,120284.40424417339
2022-01-28,708138.3597227054,109924.03847963444,123213.04644485313
2022-01-31,720179.8797536178,111440.99555559635,125540.04209285935
2022-02-01,723012.0731604273,111841.98478683786,126401.62384838918
2022-02-02,731548.000092397,112125.8809329139,127592.64510166904
2022-02-03,717972.2580285226,110331.26004673002,124480.52242251605
2022-02-04,721860.8885590669,111207.50768804035,125122.45974613573
2022-02-07,722363.1310367234,111137.21718093823,124659.29235600335
2022-02-08,725704.9475719346,111837.7715488117,125706.58089945227
2022-02-09,735120.0116806072,112808.16609791698,127531.48946719714
2022-02-10,729609.1290688223,112058.7879918947,125221.16398991934
2022-02-11,717234.9262390326,110818.70155483854,122845.78683663947
2022-02-14,722322.9559868282,111495.45232891178,122373.98570987576
2022-02-15,731757.7255103714,112180.94541760103,124303.4222211131
2022-02-16,734319.1302404106,112406.79932840655,124412.95936085864
2022-02-17,726931.4850771585,111806.15927432753,121778.74658438776
2022-02-18,723158.7990033666,111313.79100516948,120906.06043174406
2022-02-22,720919.6691072924,110951.29722688402,119679.7168785983
2022-02-23,716421.4915310657,110029.53731658391,117476.15922931637
2022-02-24,726485.8083635189,111922.14141492697,119233.23323425191
2022-02-25,722563.1513886133,111576.81631072171,121900.79992723721
2022-02-28,724063.8683994896,112228.71605357595,121603.04461391724
2022-03-01,720344.1258255579,111820.44578750545,119721.41945553452
2022-03-02,726222.7506532563,112591.6034894549,121953.34897519299
2022-03-03,721932.69359247,111984.04645868969,121312.52480629619
