,60/40 비용전,60/40 비용후(5bp),S&P500 100%
1999-07-31,42.5214417003843,42.47364759971941,69.33991851602792
1999-08-31,42.34613884108818,42.298541780837944,68.9970626732418
1999-09-30,41.82178000866551,41.77477232774531,67.10546879148475
1999-10-31,43.476943729618654,43.428075644668574,71.35202194123076
1999-11-30,43.9976065368531,43.94815322690531,72.80237287167391
1999-12-31,45.43208544804509,45.3810197837946,77.09011695243937
2000-01-31,43.91457161216572,43.86255388059383,73.21692179060825
2000-02-29,43.64487453298471,43.59317626326239,71.83102479778394
2000-03-31,46.615551868853046,46.560334769490105,78.85814735191772
2000-04-30,45.67627471940912,45.62217021353935,76.48564655724105
2000-05-31,45.12389310235518,45.070442904101895,74.91630839737056
2000-06-30,46.32013869347428,46.26527151721645,76.76328032231707
2000-07-31,46.02666072464005,45.972141179194594,75.56311029525881
2000-08-31,48.08265027064891,48.02569536244359,80.25662787622494
2000-09-30,46.794986508588956,46.739556865129956,76.01960897452965
2000-10-31,46.89086185514989,46.83531864533106,75.69849847970885
2000-11-30,45.3493501108071,45.295632853996295,69.73044094366692
2000-12-31,46.13185473986461,46.07721058990071,70.07176516164947
2001-01-31,47.424789667673586,47.365634652681884,72.5575363612371
2001-02-28,45.11721886267766,45.06094218170746,65.9419087872102
2001-03-31,43.572887763696016,43.51853739447021,61.76438582792351
2001-04-30,45.13054107500845,45.074247776659945,66.56392536448608
2001-05-31,45.340721668269495,45.284166202471596,67.01012631099933
2001-06-30,44.77939718462098,44.72354188340954,65.37900640999493
2001-07-31,45.21030394317178,45.15391115310818,64.73563553789229
2001-08-31,43.89323161920997,43.83848167107809,60.682821287944606
2001-09-30,42.62171654995248,42.5685526181954,55.78259487794854
2001-10-31,43.67069602454798,43.616223654799256,56.84623614889174
2001-11-30,44.68455455432242,44.628817554473116,61.206823188261026
2001-12-31,44.54870984713888,44.49314229233608,61.74302687770691
2002-01-31,44.2612704409189,44.20373936482116,60.841849565941274
2002-02-28,44.06954217569074,44.01226030919109,59.668755313615996
2002-03-31,44.4409427199556,44.383178104706026,61.912739286209884
2002-04-30,43.45392856327425,43.397446875197616,58.15891309615954
2002-05-31,43.523022271719,43.466450775208045,57.73063541868199
2002-06-30,42.18219138870229,42.1273627125577,53.61832057093043
2002-07-31,40.942837223982195,40.889619468130945,49.438507157523134
2002-08-31,41.576032489480454,41.52199170246357,49.76343507587827
2002-09-30,40.0068232201768,39.95482210118088,44.35484889127145
2002-10-31,41.436711297056995,41.38285160059726,48.258932595974606
2002-11-30,42.237129339436834,42.182229254600365,51.09937502974001
2002-12-31,41.651285043196694,41.59714644243995,48.09761386385734
2003-01-31,40.868958376468605,40.81175147474647,46.837566152037056
2003-02-28,40.86811308528579,40.81090736677193,46.13469933752583
2003-03-31,41.03673216401289,40.97929041856197,46.58280899580624
2003-04-30,43.05359930207307,42.99333441835935,50.419771221817264
2003-05-31,45.07273292702177,45.00964173249821,53.076013659219434
2003-06-30,45.30365973815414,45.24024530056508,53.75332701302159
2003-07-31,44.923862810826606,44.86097999935083,54.701030337969634
2003-08-31,45.59528811163837,45.53146546311455,55.76772554774031
2003-09-30,46.114416672157574,46.04986736609899,55.17545694167145
2003-10-31,47.480503628891256,47.414042123320314,58.296968821688324
2003-11-30,47.75088931454131,47.68404933278795,58.80990950454029
2003-12-31,49.70414951284306,49.63457542753921,61.89404787707203
2004-01-31,50.453439260916916,50.38044774764472,63.03015036426017
2004-02-29,51.1992429531207,51.12517247792053,63.906155957670165
2004-03-31,50.99939071974133,50.92560937283765,62.94205633310015
2004-04-30,49.62482960505794,49.55303684995921,61.95392556183406
2004-05-31,49.92940095663829,49.85716757500989,62.80400060757136
2004-06-30,50.646455481095686,50.57318472925813,64.02552492945094
2004-07-31,49.86521073416988,49.79307021720135,61.90625432159135
2004-08-31,50.552927220284694,50.479791776751,62.15681231193439
2004-09-30,50.943675806061805,50.869975062500956,62.829931155244054
2004-10-31,51.61065753321063,51.53599186027523,63.78984092471141
2004-11-30,52.441457690142585,52.36559009001314,66.37094994939463
2004-12-31,53.76851388893657,53.69072642285614,68.62942616523858
2005-01-31,53.169388280527336,53.09167102103266,66.95635650389225
2005-02-28,53.53493087630193,53.45667930618809,68.36551650331049
2005-03-31,52.87960048534525,52.80230680629798,67.15504874350009
2005-04-30,52.817101948585524,52.7398996231377,65.88127227313115
2005-05-31,54.204229190772466,54.12499931279264,67.9776616167557
