,해자+과열회피,기존 해자기업 고정,NASDAQ 40%,S&P500 100%
2019-12-02,304628.526962271,405185.048797793,83551.50150320985,86570.93875426069
2019-12-03,303906.53131889016,405873.11082831735,83619.72197892902,85996.27262856007
2019-12-04,304343.0080425416,408285.6357675403,83782.3150828052,86540.07586081521
2019-12-05,305142.9147752152,410428.4387348489,83814.92952477158,86669.90771166742
2019-12-06,306027.12380171125,412217.50731148105,83912.12960607916,87461.70009609403
2019-12-09,305873.95167545835,411509.84508391016,83799.58713214367,87185.07435992292
2019-12-10,306831.88555086387,412582.2407735107,83830.78065884765,87089.43807915611
2019-12-11,308429.2939941656,415890.424007014,84026.26587639994,87342.7079287326
2019-12-12,308906.77373349067,420894.28627636,84317.0842502405,88091.6913690289
2019-12-13,307851.15303449356,420964.8999598134,84373.61654464202,88098.08522115681
2019-12-16,309860.6524481521,423457.972018729,84908.93986133003,88727.79141788212
2019-12-17,309848.2659215163,424908.4162952919,84913.96079897534,88757.54115660468
2019-12-18,310911.1545385883,424293.8610091242,84904.3622056364,88719.17125630839
2019-12-19,312744.6971327339,425311.3832355467,85206.56429195615,89114.79594736978
2019-12-20,313736.0060582509,426611.2834982088,85409.06376734361,89555.4491044785
2019-12-23,314580.93644310767,427518.2169702122,85553.32807313418,89633.01698358449
2019-12-24,314250.4141378967,426599.79589328216,85585.47885431323,89615.4983717563
2019-12-26,315801.612445346,428054.4026444813,85887.35632733272,90075.06158409684
2019-12-27,317048.3424050225,429760.4464939396,86314.70992212987,90078.12275958482
2019-12-30,315608.37280192843,427527.1483326113,86110.5178282012,89557.39712524359
2019-12-31,316791.0122356048,428689.3544087013,86226.29637293924,89821.2351571589
2020-01-02,320696.50004645844,434879.4472180837,86949.75810863353,90573.82956277583
2020-01-03,321224.81066740764,433676.0396498015,87047.45573225801,89934.39004975387
2020-01-06,324859.90539238224,436279.3161372301,87660.55234776952,90252.16178549976
2020-01-07,324678.8582837847,437405.3582770813,87560.92542638449,89999.16343707521
2020-01-08,325377.85194385255,438914.79145725135,87864.08868910493,90440.3799590742
2020-01-09,325165.39248197305,438330.73847413296,87786.84682353074,91042.28443784206
2020-01-10,325266.65852718015,438091.9299959814,87742.63435961556,90782.34244745692
2020-01-13,326108.71809992136,441158.4011625876,88046.36628825817,91415.6596095029
2020-01-14,324963.2925397367,439948.2631102275,87879.03795375428,91277.20759707698
2020-01-15,325537.3227865981,438497.9649100288,87974.95910178497,91447.913946352
2020-01-16,326911.71354850364,440339.3394738711,88447.39016170325,92213.01776754406
2020-01-17,327449.9032789623,441329.2314923797,88622.2686369722,92569.15940358628
2020-01-21,327540.9130896164,440175.1467807789,88449.71853868992,92323.66806201253
2020-01-22,327542.1533671708,440874.8671481135,88596.05366856788,92350.3566252471
2020-01-23,327811.51884061063,441010.15442558937,88771.21311703537,92455.72622231056
2020-01-24,326260.6472387098,440513.3165334278,88461.2460354805,91619.72666282118
2020-01-27,324605.2223480791,435474.085702229,88062.68602068673,90178.48316039523
2020-01-28,325991.8054866254,439136.0422519659,88458.28568017477,91085.1001695012
2020-01-29,326863.16183668404,439779.4607174973,88470.9671049137,91006.1408469916
2020-01-30,325297.8135079651,438906.6226820678,88644.98683834978,91291.38674473645
2020-01-31,325827.71008808346,433720.5164440914,88181.6370213743,89674.99784920143
2020-02-03,327066.1403919048,436897.8216843101,88491.95167147563,90325.55533439488
2020-02-04,327363.3363516317,439134.8085970431,88957.20622974954,91678.66956290482
2020-02-05,327359.45185259037,440695.1749082919,89027.78353717359,92710.10922660991
2020-02-06,328964.885007851,443674.6237952382,89442.50072181656,93018.43272226868
2020-02-07,330354.6821882662,442120.62811314274,89405.78544651678,92516.05377826902
2020-02-10,332289.8243745834,446456.2357489002,89831.16370400923,93193.86319158724
2020-02-11,331640.2047527083,449264.4033985839,89826.52325272525,93351.2184717162
2020-02-12,332464.2122629596,450712.1749295521,90044.35422413236,93954.51439388769
2020-02-13,333002.52561805095,450957.32417359017,90185.8312913428,93801.32665644084
2020-02-14,333532.93377269857,454158.8575670475,90368.90791473447,93974.25252763288
2020-02-18,334991.35347072635,453676.3971623285,90523.69509591344,93699.85310090757
2020-02-19,336219.270925209,460603.3672837321,91092.93467884432,94140.784546697
2020-02-20,336278.84397195594,459132.2503262128,91093.58921564656,93781.58852269565
2020-02-21,334894.7517877106,455779.1635679881,90842.7395969771,92795.18411256668
2020-02-24,331080.02426169673,449123.4222631739,89971.16578264695,89685.2809553307
2020-02-25,326722.600213014,443180.86320189305,88629.56204354853,86969.61104575248
2020-02-26,326685.9085284333,444113.49679001526,88425.62253954116,86640.99283898703
2020-02-27,322490.45014860213,437913.8729521888,87133.99775304896,82814.64565451338
2020-02-28,320026.50158572017,438582.4729920209,86418.4490045454,82132.39040983231
2020-03-02,323149.6285692349,443471.87970171554,87718.88818983638,85913.70234072981
2020-03-03,319415.8996714327,440119.20883997984,86964.95048078033,83498.84891995954
2020-03-04,325142.3996235044,451224.4895669698,88693.3511146188,87022.71667106965
2020-03-05,321297.1893111487,445688.30530301126,87927.90212086635,84070.72537132408
2020-03-06,320980.8547937756,445327.6955660313,87715.75072989431,82636.99566327775
2020-03-09,314127.10554930265,432281.3557060063,85135.72101915682,76359.08810229311
2020-03-10,318864.9703008664,439787.9868459982,86354.48954269568,80130.94500557471
2020-03-11,312518.3129772763,431043.6626293146,84821.2288814714,76215.07031625265
2020-03-12,297173.555451751,409392.71130637743,80533.02627737632,68966.05064752142
2020-03-13,308186.1392223825,421322.41557408974,82973.02271331634,75371.01396007978
2020-03-16,291706.27749424067,393089.0525283567,77979.19895615628,66338.51001185918
2020-03-17,300816.9281504655,406376.5328051381,80453.40266647602,70315.82541186265
2020-03-18,298036.95726972184,390697.66469836864,78484.96772392951,66671.3025488355
2020-03-19,297498.1933365815,393544.2928160685,78690.75555891483,66985.17824305122
2020-03-20,296987.33047423896,393340.70035136375,77998.10122934157,64080.73358253713
2020-03-23,298448.6446196317,399783.2619398029,78455.6255903499,62203.56104304602
2020-03-24,310066.8480277599,422202.7802842333,81959.51740381873,68039.98058087977
