rcept_no,status,candidate_rows,documents_in_zip,error,updated_at_utc
20010514000119,NO_CANDIDATES,0,1,,2026-09-02T18:59:07.686786+00:00
20010514000488,NO_CANDIDATES,0,1,,2026-09-02T18:59:08.430972+00:00
20010514000210,NO_CANDIDATES,0,1,,2026-09-02T18:59:09.354365+00:00
20010514000263,NO_CANDIDATES,0,1,,2026-09-02T18:59:09.887940+00:00
20010514000302,NO_CANDIDATES,0,1,,2026-09-02T18:59:10.483952+00:00
20010514000341,NO_CANDIDATES,0,1,,2026-09-02T18:59:10.595084+00:00
20010514000253,NO_CANDIDATES,0,1,,2026-09-02T18:59:10.724323+00:00
20010514000148,NO_CANDIDATES,0,1,,2026-09-02T18:59:10.901860+00:00
20010512000132,ERROR,0,0,"RuntimeError('Not a zip for 20010512000132: <?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>파일이 존재하지 않습니다.</message></result>')",2026-09-02T18:59:11.293366+00:00
20010514000331,NO_CANDIDATES,0,1,,2026-09-02T18:59:11.948937+00:00
20010514000068,NO_CANDIDATES,0,1,,2026-09-02T18:59:12.050804+00:00
20010514000398,NO_CANDIDATES,0,1,,2026-09-02T18:59:12.353115+00:00
20010514000246,NO_CANDIDATES,0,1,,2026-09-02T18:59:12.638945+00:00
20010514000206,NO_CANDIDATES,0,1,,2026-09-02T18:59:13.333402+00:00
20010514000103,NO_CANDIDATES,0,1,,2026-09-02T18:59:13.368252+00:00
20010514000320,NO_CANDIDATES,0,1,,2026-09-02T18:59:13.384507+00:00
20010514000469,NO_CANDIDATES,0,1,,2026-09-02T18:59:13.591502+00:00
20010514000327,NO_CANDIDATES,0,1,,2026-09-02T18:59:14.282443+00:00
20010514000434,NO_CANDIDATES,0,1,,2026-09-02T18:59:14.352780+00:00
20010514000515,NO_CANDIDATES,0,1,,2026-09-02T18:59:14.742236+00:00
20010514000553,NO_CANDIDATES,0,1,,2026-09-02T18:59:15.193752+00:00
20010514000267,NO_CANDIDATES,0,1,,2026-09-02T18:59:15.255642+00:00
20010514000395,NO_CANDIDATES,0,1,,2026-09-02T18:59:15.297075+00:00
20010514000567,NO_CANDIDATES,0,1,,2026-09-02T18:59:15.597160+00:00
20010514000618,NO_CANDIDATES,0,1,,2026-09-02T18:59:16.095601+00:00
20010514000555,NO_CANDIDATES,0,1,,2026-09-02T18:59:16.106120+00:00
20010514000126,NO_CANDIDATES,0,1,,2026-09-02T18:59:16.551975+00:00
20010514000164,NO_CANDIDATES,0,1,,2026-09-02T18:59:16.650315+00:00
20010514000344,NO_CANDIDATES,0,1,,2026-09-02T18:59:17.516339+00:00
20010514000616,NO_CANDIDATES,0,1,,2026-09-02T18:59:18.210128+00:00
20010514000273,NO_CANDIDATES,0,1,,2026-09-02T18:59:18.425106+00:00
20010514000295,NO_CANDIDATES,0,1,,2026-09-02T18:59:18.438005+00:00
20010514000047,NO_CANDIDATES,0,1,,2026-09-02T18:59:18.479278+00:00
20010514000350,NO_CANDIDATES,0,1,,2026-09-02T18:59:20.045890+00:00
20010514000237,NO_CANDIDATES,0,1,,2026-09-02T18:59:20.082013+00:00
20010514000546,NO_CANDIDATES,0,1,,2026-09-02T18:59:20.108422+00:00
20010514000163,NO_CANDIDATES,0,1,,2026-09-02T18:59:20.159060+00:00
20010514000404,NO_CANDIDATES,0,1,,2026-09-02T18:59:20.393519+00:00
20010514000310,NO_CANDIDATES,0,1,,2026-09-02T18:59:21.089253+00:00
20010514000113,NO_CANDIDATES,0,1,,2026-09-02T18:59:21.498174+00:00
20010514000031,NO_CANDIDATES,0,1,,2026-09-02T18:59:21.904583+00:00
20010514000228,NO_CANDIDATES,0,1,,2026-09-02T18:59:22.075117+00:00
20010514000207,NO_CANDIDATES,0,1,,2026-09-02T18:59:22.596374+00:00
20010514000422,NO_CANDIDATES,0,1,,2026-09-02T18:59:23.079957+00:00
20010514000090,NO_CANDIDATES,0,1,,2026-09-02T18:59:23.671768+00:00
20010514000354,NO_CANDIDATES,0,1,,2026-09-02T18:59:23.736388+00:00
20010514000200,NO_CANDIDATES,0,1,,2026-09-02T18:59:24.140167+00:00
20010514000019,NO_CANDIDATES,0,1,,2026-09-02T18:59:24.402950+00:00
20010514000471,NO_CANDIDATES,0,1,,2026-09-02T18:59:24.469835+00:00
20010514000156,NO_CANDIDATES,0,1,,2026-09-02T18:59:24.517649+00:00
20010514000311,NO_CANDIDATES,0,1,,2026-09-02T18:59:25.288415+00:00
20010514000589,NO_CANDIDATES,0,1,,2026-09-02T18:59:25.296097+00:00
20010514000447,NO_CANDIDATES,0,1,,2026-09-02T18:59:25.338261+00:00
20010514000209,NO_CANDIDATES,0,1,,2026-09-02T18:59:25.447522+00:00
20010514000547,NO_CANDIDATES,0,1,,2026-09-02T18:59:25.833648+00:00
20010514000505,NO_CANDIDATES,0,1,,2026-09-02T18:59:26.789872+00:00
20010514000144,NO_CANDIDATES,0,1,,2026-09-02T18:59:26.818905+00:00
20010514000026,NO_CANDIDATES,0,1,,2026-09-02T18:59:26.842535+00:00
20010514000049,NO_CANDIDATES,0,1,,2026-09-02T18:59:27.023767+00:00
20010514000473,NO_CANDIDATES,0,1,,2026-09-02T18:59:27.275797+00:00
20010514000613,NO_CANDIDATES,0,1,,2026-09-02T18:59:28.047092+00:00
20010514000260,NO_CANDIDATES,0,1,,2026-09-02T18:59:28.052004+00:00
20010514000048,NO_CANDIDATES,0,1,,2026-09-02T18:59:28.462506+00:00
