Date,60/40 비용전,60/40 비용후(5bp),S&P500 100%
2023-06-07,-0.10722311148219388,-0.10729016491025656,-0.08914531972830575
2023-06-08,-0.10159436279417122,-0.1016618389783559,-0.08363583085106008
2023-06-09,-0.10181366987718443,-0.10188112958996187,-0.08199170181952042
2023-06-12,-0.09617686272208237,-0.09624474579622588,-0.07366364783592605
2023-06-13,-0.09486146220219693,-0.09492944407158843,-0.06755628151187887
2023-06-14,-0.09373047830587133,-0.09379854511960706,-0.06644593768210527
2023-06-15,-0.08405489961727053,-0.08412369313073143,-0.054872195378691035
2023-06-16,-0.08748406938855613,-0.08755260534876774,-0.05809140491083731
2023-06-19,-0.08748406938855613,-0.08755260534876774,-0.05809140491083731
2023-06-20,-0.08945155110113778,-0.08951993929050639,-0.06297816701746528
2023-06-21,-0.09206503533743415,-0.09213322723691275,-0.06777924648295497
2023-06-22,-0.09193302164845585,-0.09200122346303263,-0.0644141320412952
2023-06-23,-0.09484964419530428,-0.0949176269523061,-0.07148709148916754
2023-06-26,-0.09632512471980836,-0.09639299665849865,-0.07528075492517317
2023-06-27,-0.09133009999234765,-0.09139834709031402,-0.06514290975126169
2023-06-28,-0.08968116314821384,-0.08974953409220443,-0.06467131575336449
2023-06-29,-0.09092419970037502,-0.0909924772841284,-0.060984925354599984
2023-06-30,-0.0834339631884432,-0.08350280333832216,-0.04990375639623956
2023-07-03,-0.08423020894658484,-0.0842989892931596,-0.04881058983129005
2023-07-04,-0.08423020894658484,-0.0842989892931596,-0.04881058983129005
2023-07-05,-0.08670236671443432,-0.08677096138566842,-0.05022523603632645
2023-07-06,-0.09396699941972009,-0.09403504846916122,-0.057662652233509526
2023-07-07,-0.09583764726403021,-0.09590555581548998,-0.06004194104178817
2023-07-10,-0.09267232628497934,-0.09274047257290519,-0.057662652233509526
2023-07-11,-0.08831302242677141,-0.08838149612714663,-0.051661404743138295
2023-07-12,-0.0804057978965701,-0.08047486548161908,-0.044031032867575925
2023-07-13,-0.07297974850933875,-0.07304937383963728,-0.03644363810123741
2023-07-14,-0.07502541955977693,-0.07509489124669777,-0.037043891849496524
2023-07-17,-0.07242660138422463,-0.07249626825951783,-0.033700164120957554
2023-07-18,-0.06766344281536818,-0.06773346743526087,-0.026520067424498528
2023-07-19,-0.06518865064840351,-0.0652588611414977,-0.02435532469070223
2023-07-20,-0.07183016583158897,-0.07189987750312321,-0.030828234073297822
2023-07-21,-0.07155016440185569,-0.07161989710334249,-0.030828234073297822
2023-07-24,-0.06971489492731375,-0.06978476546963319,-0.02649861281705035
2023-07-25,-0.06872421796710515,-0.06879416291579321,-0.023840957266563434
2023-07-26,-0.0674779754139393,-0.0675480139636564,-0.02369091080308061
2023-07-27,-0.07509916943311201,-0.07516863558093179,-0.03016375229134871
2023-07-28,-0.06822456077653849,-0.06829454325277473,-0.02066879850328307
2023-07-31,-0.06666765765301241,-0.06673775706293361,-0.018804080802125256
2023-08-01,-0.07033717914163962,-0.07040700294631363,-0.021611850710422487
2023-08-02,-0.07930299870844093,-0.07937214912097723,-0.035222015468907575
2023-08-03,-0.0834446382977978,-0.08351347764590589,-0.03798687616230845
2023-08-04,-0.08258968423247115,-0.08265858779326418,-0.042337816237349224
2023-08-07,-0.07829939526694107,-0.07836862105671005,-0.033978870334802624
2023-08-08,-0.07917711833639007,-0.07924627820337204,-0.03817983184068774
