Date,Open,High,Low,Close,Volume,Change,Amount,MarCap
2019-01-03,1148.75,1152.25,1114.52,1114.62,62400047,-0.026,1315574556384,112313458764968
2019-01-04,1112.7,1131.9,1100.32,1131.9,53533820,0.0155,1175848961587,113856152010093
2019-01-07,1148.6,1154.31,1133.45,1141.01,47183645,0.008,1030401837469,115074104711427
2019-01-08,1141.98,1144.87,1127.04,1130.92,81912792,-0.0088,1539042018502,113990198442220
2019-01-09,1137.2,1153.51,1133.83,1148.07,50892225,0.0152,1164421726875,115987740652396
2019-01-10,1146.7,1160.32,1142.31,1154.02,56196457,0.0052,1340718879496,116298488980454
2019-01-11,1157.14,1160.06,1148.4,1154.09,50253282,0.0001,1036282587648,116440516317025
2019-01-14,1152.15,1152.15,1138.27,1138.7,44908478,-0.0133,922350854617,115073775339567
2019-01-15,1142.46,1154.27,1139.75,1149.42,52786974,0.0093999999999999,1074490796346,116092889526096
2019-01-16,1151.18,1152.05,1137.45,1146.93,66428572,-0.0022,1139604834705,115954306078946
2019-01-17,1148.18,1152.58,1128.28,1128.28,78330288,-0.0163,1459038403426,113942555248368
2019-01-18,1137.75,1148.06,1134.61,1148.06,69638803,0.0175,1276749980939,115833491073873
2019-01-21,1149.95,1150.13,1136.06,1139.54,62320520,-0.0074,1268302017460,114990024643798
2019-01-22,1143.5,1145.05,1135.23,1140.36,42771016,0.0007,875034687451,114966603080449
2019-01-23,1133.88,1140.44,1131.74,1136.34,54996749,-0.0034999999999999,1307017605600,114767430444661
2019-01-24,1136.16,1156.5,1135.96,1155.57,58069298,0.0169,1257033853118,116615264918519
2019-01-25,1155.29,1171.82,1152.16,1167.59,56680018,0.0104,1156086981137,118003017186806
2019-01-28,1168.83,1183.59,1168.2,1176.89,84200813,0.008,1391813591356,118851179661325
2019-01-29,1171.61,1175.05,1160.81,1173.42,58028184,-0.0029,1098827974123,118450191796102
2019-01-30,1174.97,1188.16,1171.46,1184.45,76140989,0.0093999999999999,1171940652904,119560407114507
2019-01-31,1192.93,1200.37,1186.43,1191.47,53483166,0.0059,1186943742963,119998683045883
2019-02-01,1194.83,1197.61,1187.6,1191.56,113343182,0.0001,1612918115438,120260715779901
2019-02-07,1195.79,1217.22,1191.22,1216.85,74224234,0.0212,1442266622100,122884208311106
2019-02-08,1210.12,1218.79,1207.1,1213.97,75682760,-0.0024,1219168905786,122508998949975
2019-02-11,1219.19,1228.08,1215.62,1226.74,63218100,0.0105,1207389599062,123682678161092
2019-02-12,1228.87,1230.21,1214.46,1217.52,72552201,-0.0075,1416795128282,122960396245556
2019-02-13,1225.01,1237.28,1221.44,1234.64,63679513,0.0141,1298624943845,124811529796070
2019-02-14,1233.86,1237.84,1227.18,1236.5,68414924,0.0015,1325529385439,125118385500907
2019-02-15,1233.07,1238.19,1220.31,1229.34,69780416,-0.0058,1545846867480,124370289487753
2019-02-18,1238.36,1248.31,1235.54,1240.93,55672864,0.0093999999999999,1170161047402,125576396027173
2019-02-19,1242.33,1250.67,1232.57,1248.58,62429021,0.0062,1500280047897,126247880509888
2019-02-20,1250.27,1257.71,1247.41,1253.83,61938678,0.0042,1191170408668,127043707897521
2019-02-21,1254.95,1256.31,1242.7,1246.13,59598510,-0.0060999999999999,1208876378478,126284879541452
2019-02-22,1244.46,1246.06,1232.77,1239.34,53006882,-0.0054,1169384072168,125657867900405
2019-02-25,1242.73,1254.17,1241.17,1252.65,55058118,0.0107,1245052279234,127127073202271
2019-02-26,1254.36,1260.2,1245.72,1248.18,57263271,-0.0036,1204197919039,126664649488571
2019-02-27,1247.06,1259.31,1245.64,1259.31,56645523,0.0089,1434213727501,127541113766899
2019-02-28,1260.22,1274.81,1229.82,1235.26,98827186,-0.0191,2146064257763,125083558173923
2019-03-04,1251.8,1270.77,1251.8,1268.22,77406305,0.0266999999999999,1763494843533,127964593168370
2019-03-05,1264.15,1277.47,1261.71,1267.45,72297400,-0.0006,1600188709102,127721409824623
2019-03-06,1270.01,1270.39,1245.18,1253.33,56026356,-0.0111,1234085614515,126520393354024
2019-03-07,1250.36,1257.55,1225.23,1228.91,62605766,-0.0195,1279695418346,124318901295916
2019-03-08,1221.95,1234.64,1213.55,1229.67,51990761,0.0006,1090170455682,124372623235269
2019-03-11,1230.4,1242.46,1212.64,1242.46,55565789,0.0104,1283943946389,125663785484185
2019-03-12,1256.32,1277.92,1255.74,1273.15,76685713,0.0247,2148973303347,128147193421789
2019-03-13,1272.94,1284.12,1264.31,1271.08,99751931,-0.0016,1886810944085,128148712521761
2019-03-14,1278.4,1285.19,1255.83,1255.83,94816482,-0.012,1839522984009,126702359977795
2019-03-15,1258.04,1258.61,1233.94,1243.19,90369305,-0.0101,1994271625403,125579312836765
2019-03-18,1248.61,1256.33,1235.5,1243.48,56435902,0.0002,1145394396697,125621378697920
2019-03-19,1250.31,1252.91,1227.91,1227.91,53181584,-0.0125,1173790098562,124170175634273
2019-03-20,1232.07,1232.31,1216.26,1232.31,56033870,0.0036,1168172875159,124378524923773
