Code,Name,Market,Marcap,Amount,Volume,Close,fs_div,equity,revenue_q,net_income_q,ocf_q,EY,EY_rank,BY,BY_rank,CFY,CFY_rank,SY,SY_rank,avg_rank,overall_rank,signal_date,target_weight
092230,KPX홀딩스,KOSPI,195178645200.0,243145050.0,5213.0,46200.0,CFS,216645934194.0,209563222798.0,66361969147.0,32899235179.0,1.360025203146558,5.0,1.1099878983789564,167.0,0.6742384167138383,132.0,4.294798185185886,176.0,120.0,13,2020-10-30,0.05
014130,한익스프레스,KOSPI,59640000000.0,694103525.0,137267.0,4970.0,CFS,75962154135.0,149629008270.0,2637002857.0,15450669471.0,0.17686135861837693,231.0,1.2736779700704226,145.0,1.0362622046277665,66.0,10.035480098591549,39.0,120.25,14,2020-10-30,0.05
002380,KCC,KOSPI,1359630063000.0,9967285000.0,64170.0,153000.0,CFS,4999588721446.0,1243492723344.0,348380735065.0,115891775336.0,1.0249280140108228,9.0,3.6771684133068483,14.0,0.3409509056611673,327.0,3.6583266498248945,226.0,144.0,15,2020-10-30,0.05
024840,KBI메탈,KOSDAQ,49755780480.0,147229775.0,97944.0,1510.0,CFS,96850969539.0,114610041846.0,4322650332.0,3053622136.0,0.3475093981281268,70.0,1.9465269885160488,79.0,0.24548883418500042,421.0,9.21380717901262,46.0,154.0,16,2020-10-30,0.05
054930,유신,KOSDAQ,40200000000.0,92691600.0,6897.0,13400.0,OFS,82969886218.0,46213148799.0,1264175130.0,14752575139.0,0.12578857014925374,362.0,2.0639275178606966,69.0,1.467917924278607,34.0,4.598323263582089,158.0,155.75,17,2020-10-30,0.05
012450,한화에어로스페이스,KOSPI,1270813000000.0,5952044250.0,235735.0,25100.0,CFS,2857450787406.0,1192687358834.0,42321999962.0,409253520240.0,0.13321236078636275,344.0,2.2485218418492727,62.0,1.2881628382460677,47.0,3.754092408038004,218.0,167.75,18,2020-10-30,0.05
020400,대동금속,KOSDAQ,22869625470.0,57867880.0,6603.0,8770.0,OFS,14300944320.0,28486652547.0,1065319474.0,7480751123.0,0.18632915093383906,208.0,0.625324815168475,291.0,1.3084169013284677,43.0,4.982443212175612,142.0,171.0,19,2020-10-30,0.05
012200,계양전기,KOSPI,93562000000.0,296446195.0,101891.0,2870.0,CFS,191511843796.0,81507389789.0,6298535439.0,9719717507.0,0.2692775032171181,110.0,2.0468977127038754,70.0,0.4155412456766636,267.0,3.4846364887026784,249.0,174.0,20,2020-10-30,0.05
001620,케이비아이동국실업,KOSPI,57166790265.0,146468220.0,173070.0,855.0,CFS,169771884201.0,152513782239.0,3293868625.0,17617109782.0,0.23047427429324469,94.0,2.969764148275817,8.0,1.2326814012355676,28.0,10.671495218256155,17.0,36.75,1,2021-04-30,0.05
010100,한국프랜지,KOSPI,92264772600.0,608983275.0,203138.0,3030.0,CFS,236960323619.0,262690623315.0,4471516985.0,58737351175.0,0.19385587192137077,119.0,2.5682643217071126,14.0,2.5464692328304723,8.0,11.388555606324662,13.0,38.5,2,2021-04-30,0.05
