,전략(비용전),전략(비용후),정적4자산25%
2019-01-31,2.829602515675435,2.802083701793463,7.161948213651097
2019-02-28,2.819084757779911,2.7916682325481568,7.181591670012006
2019-03-31,2.878847323456237,2.8508495876435456,7.332124140081561
2019-04-30,2.8667640630907534,2.8388838409540087,7.426541287549377
2019-05-31,2.927615442725462,2.899143420934401,7.326337519786779
2019-06-30,2.9496338031355807,2.9209476455573355,7.601606740402101
2019-07-31,2.982253802648164,2.9532504048602273,7.646311947588783
2019-08-31,3.07598695493539,3.046071971453677,7.809041126552178
2019-09-30,3.0368768140938607,3.0073421895780283,7.842807641789729
2019-10-31,2.994942403044712,2.965815604450195,7.802881049741213
2019-11-30,3.005799091084327,2.9765667076326148,7.907665322203181
2019-12-31,2.9747531195227452,2.9458226683418927,8.016630478979655
2020-01-31,2.9991708728239455,2.9680244187460283,8.149644922035145
2020-02-29,2.9500095787831375,2.9193736658021376,8.096034581118547
2020-03-31,2.801497380347747,2.7724037697445447,7.703022931541237
2020-04-30,2.9424517608315033,2.911894335952629,8.099244339511776
2020-05-31,2.9989058351081757,2.9677621334526423,8.25761942268949
2020-06-30,3.040974778935798,3.0093941903929897,8.363258619125299
2020-07-31,3.1658750268622518,3.132997346555979,8.749467018414501
2020-08-31,3.195351987525574,3.1621681883482573,8.761656386152765
2020-09-30,3.1863655102868975,3.153275035869158,8.759561710277621
2020-10-31,3.1179572253251946,3.0855771724194185,8.536988912617641
2020-11-30,3.3208861659805047,3.2863986916575385,9.085368144776137
2020-12-31,3.4620233804902067,3.4260701931562734,9.444562111866967
2021-01-31,3.4793800735564293,3.4423666915835285,9.409117642340403
2021-02-28,3.4999856407929553,3.462753058354808,9.326558794874382
2021-03-31,3.5367430037007277,3.4991193992170264,9.309809255842868
2021-04-30,3.6086017599689555,3.5702137274729,9.514250796074162
2021-05-31,3.6253317659604174,3.5867657609264154,9.548968539488477
2021-06-30,3.683747936777704,3.6445605049383105,9.807482169469944
2021-07-31,3.6877717490785202,3.6485415122283116,9.96720780388476
2021-08-31,3.706087517883674,3.6666624392706852,10.005570943479281
2021-09-30,3.6091294218616827,3.570735776138335,9.602839127028984
2021-10-31,3.6573854643912607,3.618478474538531,9.677372151609216
2021-11-30,3.6251456802299242,3.5865816547618437,9.721693655882547
2021-12-31,3.723291145527483,3.6836830560252443,9.94229924021538
2022-01-31,3.620007165782081,3.5801318421490707,9.394517718614257
2022-02-28,3.5832979390335087,3.5438269771130253,9.275913649438635
2022-03-31,3.5782561897586547,3.5388407640221633,9.177553798965807
2022-04-30,3.4337981441969783,3.395973961531112,8.607738788921948
