,성장형,중립형,안정형
2025-08-31,93446419.87245011,80714710.12648794,66483803.27741867
2025-09-30,97290880.45390932,84035377.9685384,69219000.21010372
2025-10-31,99954872.56102072,86336411.5554671,71114335.81978829
2025-11-30,101323727.07989722,87346943.18058822,71777953.19788876
2025-12-31,101824601.17877053,87748273.10429698,72077790.53358698
2026-01-31,107599687.03058954,91965748.4975661,74720849.19888598
2026-02-28,109579254.46260868,93439916.05271354,75667618.40917188
2026-03-31,103914988.23594698,89367163.7844912,73199190.49992113
2026-04-30,108368885.86946487,92618280.02193289,75267865.51361471
2026-05-31,110907110.09831558,94787592.37113726,77030795.1439023
2026-06-30,116548445.06285363,99609001.5537736,80948997.66136257
2026-07-31,102284843.55069539,87418507.68299943,71042179.558147
2026-08-31,98280083.33141142,83995809.36480206,68260663.89356385
